id,marks
1,37
2,6
3,82
4,6
5,38
6,9
7,38
8,53
9,85
10,42
11,42
12,18
13,60
14,82
15,81
16,37
17,35
18,85
19,20
20,100
21,56
22,27
23,19
24,37
25,53
26,15
27,11
28,64
29,7
30,29
31,84
32,97
33,29
34,61
35,63
36,48
37,74
38,48
39,88
40,38
41,28
42,6
43,68
44,46
45,50
46,66
47,78
48,13
49,49
50,52
51,69
52,65
53,54
54,59
55,61
56,66
57,35
58,62
59,43
60,78
61,81
62,81
63,70
64,88
65,93
66,99
67,46
68,27
69,66
70,18
71,85
72,9
73,22
74,51
75,2
76,28
77,66
78,13
79,23
80,2
81,44
82,23
83,90
84,75
85,92
86,34
87,43
88,28
89,95
90,2
91,81
92,8
93,56
94,38
95,2
96,96
97,36
98,78
99,54
100,63
101,86
102,49
103,20
104,71
105,20
106,15
107,21
108,54
109,80
110,86
111,46
112,47
113,53
114,65
115,2
116,63
117,7
118,28
119,37
120,57
121,65
122,9
123,30
124,65
125,6
126,84
127,44
128,80
129,52
130,20
131,22
132,42
133,91
134,52
135,63
136,32
137,12
138,70
139,63
140,72
141,12
142,57
143,74
144,8
145,94
146,11
147,42
148,67
149,1
150,1
151,69
152,34
153,23
154,19
155,37
156,94
157,85
158,57
159,58
160,10
161,7
162,91
163,12
164,72
165,20
166,60
167,21
168,100
169,77
170,28
171,14
172,27
173,7
174,89
175,16
176,24
177,77
178,67
179,95
180,52
181,71
182,43
183,46
184,1
185,55
186,17
187,50
188,14
189,21
190,13
191,21
192,51
193,4
194,74
195,90
196,19
197,75
198,80
199,13
200,60
201,68
202,22
203,51
204,66
205,54
206,19
207,39
208,39
209,47
210,60
211,18
212,81
213,20
214,26
215,92
216,41
217,40
218,23
219,78
220,39
221,81
222,34
223,32
224,2
225,29
226,41
227,52
228,39
229,26
230,17
231,31
232,18
233,83
234,46
235,53
236,74
237,8
238,86
239,68
240,90
241,72
242,3
243,52
244,40
245,7
246,25
247,27
248,57
249,3
250,32
251,55
252,26
253,90
254,52
255,18
256,2
257,24
258,19
259,77
260,12
261,91
262,42
263,10
264,65
265,8
266,23
267,1
268,12
269,21
270,70
271,17
272,9
273,82
274,11
275,32
276,99
277,27
278,73
279,84
280,15
281,81
282,6
283,66
284,73
285,31
286,37
287,40
288,15
289,39
290,90
291,21
292,85
293,11
294,2
295,30
296,63
297,29
298,9
299,94
300,93
301,60
302,58
303,95
304,48
305,88
306,66
307,41
308,32
309,74
310,58
311,23
312,63
313,98
314,7
315,50
316,82
317,70
318,3
319,77
320,77
321,67
322,13
323,25
324,82
325,35
326,80
327,5
328,1
329,86
330,76
331,53
332,8
333,44
334,43
335,94
336,87
337,10
338,17
339,49
340,53
341,31
342,88
343,60
344,90
345,34
346,33
347,78
348,75
349,71
350,6
351,48
352,88
353,56
354,70
355,70
356,25
357,48
358,56
359,25
360,10
361,22
362,55
363,81
364,49
365,32
366,92
367,7
368,8
369,21
370,37
371,39
372,6
373,75
374,53
375,97
376,13
377,60
378,87
379,100
380,1
381,84
382,81
383,2
384,31
385,31
386,6
387,41
388,54
389,58
390,7
391,85
392,24
393,82
394,45
395,19
396,1
397,76
398,12
399,99
400,30
401,19
402,71
403,69
404,7
405,41
406,72
407,28
408,15
409,97
410,96
411,1
412,95
413,60
414,31
415,66
416,54
417,73
418,9
419,86
420,48
421,33
422,35
423,32
424,43
425,57
426,49
427,74
428,63
429,44
430,39
431,74
432,26
433,37
434,37
435,46
436,23
437,71
438,89
439,95
440,19
441,27
442,94
443,31
444,32
445,49
446,67
447,12
448,91
449,24
450,15
451,60
452,55
453,97
454,8
455,8
456,76
457,17
458,59
459,86
460,61
461,72
462,13
463,20
464,92
465,48
466,29
467,65
468,13
469,77
470,70
471,29
472,95
473,8
474,66
475,19
476,89
477,96
478,55
479,96
480,37
481,11
482,25
483,63
484,59
485,23
486,69
487,82
488,53
489,97
490,99
491,51
492,55
493,87
494,13
495,21
496,51
497,60
498,8
499,13
500,79
501,40
502,35
503,83
504,83
505,49
506,48
507,53
508,70
509,33
510,65
511,62
512,96
513,62
514,40
515,28
516,97
517,89
518,37
519,41
520,54
521,7
522,15
523,73
524,17
525,7
526,17
527,57
528,11
529,51
530,10
531,52
532,73
533,90
534,79
535,43
536,42
537,42
538,28
539,73
540,20
541,44
542,84
543,68
544,83
545,89
546,95
547,12
548,11
549,92
550,6
551,67
552,21
553,58
554,72
555,22
556,100
557,99
558,83
559,38
560,2
561,9
562,21
563,42
564,85
565,54
566,16
567,84
568,69
569,36
570,100
571,6
572,82
573,4
574,53
575,63
576,59
577,91
578,38
579,44
580,86
581,67
582,23
583,5
584,39
585,99
586,16
587,47
588,2
589,90
590,86
591,83
592,16
593,61
594,67
595,47
596,76
597,83
598,69
599,27
600,52
601,24
602,31
603,3
604,33
605,68
606,4
607,92
608,77
609,60
610,75
611,83
612,11
613,45
614,87
615,42
616,63
617,29
618,44
619,92
620,42
621,38
622,92
623,90
624,100
625,77
626,79
627,26
628,3
629,18
630,92
631,42
632,61
633,66
634,77
635,66
636,77
637,51
638,37
639,32
640,9
641,94
642,23
643,54
644,20
645,44
646,4
647,45
648,89
649,48
650,91
651,76
652,84
653,66
654,87
655,93
656,74
657,26
658,62
659,19
660,37
661,43
662,22
663,68
664,60
665,52
666,7
667,86
668,14
669,13
670,44
671,50
672,6
673,12
674,85
675,15
676,47
677,79
678,2
679,60
680,92
681,57
682,60
683,17
684,47
685,37
686,69
687,17
688,95
689,33
690,65
691,21
692,95
693,96
694,19
695,60
696,74
697,55
698,7
699,79
700,39
701,75
702,14
703,67
704,59
705,81
706,54
707,35
708,58
709,100
710,33
711,74
712,2
713,94
714,82
715,37
716,8
717,95
718,71
719,63
720,81
721,17
722,54
723,99
